epoch,train_loss,train_acc,retain_test_loss,retain_test_acc,forget_test_loss,forget_test_acc,full_test_acc,lr,epoch_time,total_elapsed_time
1,1.927014,0.291156,1.464365,0.436333,9.07714,0.0,0.3927,0.1,101.41,101.41
2,1.385906,0.476444,1.14879,0.573333,8.629404,0.0,0.516,0.1,75.17,176.86
3,1.096977,0.597222,0.989412,0.639,8.390435,0.0,0.5751,0.1,75.93,253.12
4,0.908877,0.6738,0.960102,0.661667,7.482109,0.0,0.5955,0.1,74.08,327.5
5,0.75993,0.730822,0.839022,0.712111,8.564697,0.0,0.6409,0.1,75.2,403.0
6,0.687896,0.754844,1.001606,0.668444,10.098374,0.0,0.6016,0.1,74.3,477.59
7,0.649151,0.771956,0.726254,0.751667,8.251524,0.0,0.6765,0.1,74.72,552.48
8,0.619047,0.782911,0.895656,0.697778,8.007801,0.0,0.628,0.1,74.23,627.03
9,0.598331,0.792156,0.762663,0.748333,8.379352,0.0,0.6735,0.1,73.99,701.18
10,0.572456,0.799756,0.790777,0.721111,8.776922,0.0,0.649,0.1,74.04,775.37
11,0.561225,0.802956,0.621917,0.786111,7.922374,0.0,0.7075,0.1,79.6,855.13
12,0.546559,0.810378,0.730088,0.763222,7.85946,0.0,0.6869,0.1,75.41,930.88
13,0.548508,0.810422,0.658123,0.771222,8.482765,0.0,0.6941,0.1,75.7,1006.75
14,0.529845,0.818533,0.567757,0.803111,7.944819,0.0,0.7228,0.1,77.61,1084.5
15,0.526541,0.815267,0.625205,0.790111,8.481656,0.0,0.7111,0.1,75.47,1160.31
16,0.51753,0.821956,0.64742,0.773778,8.254334,0.0,0.6964,0.1,79.29,1239.76
17,0.511872,0.822644,0.680665,0.771222,8.062536,0.0,0.6941,0.1,78.91,1318.85
18,0.510797,0.8222,0.564575,0.805222,7.802093,0.0,0.7247,0.1,75.68,1394.68
19,0.49979,0.825489,0.510106,0.829444,8.039359,0.0,0.7465,0.1,74.81,1469.77
20,0.497523,0.8276,0.951727,0.716333,9.350459,0.0,0.6447,0.1,74.72,1544.78
21,0.493141,0.828289,0.646621,0.778889,7.956843,0.0,0.701,0.1,76.1,1621.03
22,0.488997,0.830067,0.559421,0.800556,8.675511,0.0,0.7205,0.1,78.69,1699.88
23,0.490571,0.830133,0.804562,0.750111,7.769632,0.0,0.6751,0.1,80.47,1780.49
24,0.493912,0.828133,0.552154,0.806667,7.725535,0.0,0.726,0.1,79.31,1859.96
25,0.478508,0.834467,0.723352,0.747778,8.587307,0.0,0.673,0.1,76.35,1936.48
26,0.47148,0.837644,0.752087,0.751667,7.944264,0.0,0.6765,0.1,74.29,2010.91
27,0.483206,0.8314,0.736187,0.770333,7.85329,0.0,0.6933,0.1,74.46,2085.51
28,0.471635,0.836956,0.72306,0.765778,7.771056,0.0,0.6892,0.1,75.04,2160.72
29,0.475659,0.833111,0.558411,0.810667,7.987987,0.0,0.7296,0.1,79.11,2240.0
30,0.468851,0.838978,0.558231,0.816111,10.341621,0.0,0.7345,0.1,78.58,2318.76
31,0.469006,0.840222,0.520979,0.818333,8.236568,0.0,0.7365,0.1,77.2,2396.13
32,0.462473,0.839022,0.600721,0.795333,9.453231,0.0,0.7158,0.1,76.5,2472.77
33,0.46422,0.839978,0.61474,0.786444,8.663814,0.0,0.7078,0.1,75.55,2548.47
34,0.47026,0.837444,0.768997,0.748222,9.050398,0.0,0.6734,0.1,75.13,2623.76
35,0.460419,0.839333,0.495202,0.829444,8.169451,0.0,0.7465,0.1,75.02,2698.93
36,0.458777,0.842511,0.683783,0.772778,9.566498,0.0,0.6955,0.1,75.57,2774.79
37,0.461045,0.839933,0.701994,0.775556,9.911266,0.0,0.698,0.1,73.57,2848.5
38,0.460333,0.841356,0.637328,0.781333,10.000944,0.0,0.7032,0.1,73.41,2922.06
39,0.45528,0.844444,0.787721,0.761444,8.183004,0.0,0.6853,0.1,73.4,2995.59
40,0.461305,0.840622,0.578143,0.805556,7.674901,0.0,0.725,0.1,72.93,3068.66
41,0.259137,0.910933,0.258316,0.907778,9.422169,0.0,0.817,0.01,71.39,3140.19
42,0.205577,0.927756,0.242794,0.918667,9.432952,0.0,0.8268,0.01,71.34,3211.81
43,0.181269,0.937622,0.247957,0.913667,9.831979,0.0,0.8223,0.01,71.4,3283.48
44,0.169626,0.940289,0.240046,0.916444,10.841936,0.0,0.8248,0.01,71.64,3355.29
45,0.151754,0.947378,0.232813,0.920667,10.240376,0.0,0.8286,0.01,71.34,3426.77
46,0.137887,0.952289,0.228578,0.923111,10.309091,0.0,0.8308,0.01,71.25,3498.3
47,0.136235,0.952511,0.218353,0.925556,10.900842,0.0,0.833,0.01,71.25,3569.83
48,0.126907,0.955244,0.226144,0.924111,10.787672,0.0,0.8317,0.01,71.4,3641.5
49,0.116113,0.959222,0.249268,0.920111,11.238871,0.0,0.8281,0.01,71.38,3713.03
50,0.117126,0.9594,0.252302,0.916222,10.724824,0.0,0.8246,0.01,71.29,3784.46
51,0.115364,0.960267,0.225591,0.927333,9.940777,0.0,0.8346,0.01,71.56,3856.17
52,0.112892,0.961622,0.24843,0.920222,10.48122,0.0,0.8282,0.01,71.36,3927.82
53,0.110207,0.961422,0.237578,0.924889,9.613821,0.0,0.8324,0.01,71.46,3999.44
