class_id,class_name,refinement_status,pure_ACC_r,hybrid_ACC_r,delta_ACC_r,pure_ACC_f,hybrid_ACC_f,delta_ACC_f,pure_composite,hybrid_composite,delta_composite,pure_MIA,hybrid_MIA,delta_MIA,pure_S,hybrid_S,note
0,airplane,no-op,92.8556,92.8556,+0.0000,0.0000,0.0000,+0.0000,92.8556,92.8556,+0.0000,100.0000,100.0000,+0.0000,221.2498,221.2498,pure ACC_f is already 0.00 with anchor MIA 100.00 -- a forgetting step has nothing to improve
1,automobile,accepted,92.6778,92.6000,-0.0778,12.7000,5.5000,-7.2000,80.9077,87.5070,+6.5993,91.7000,95.8000,+4.1000,154.5670,178.4213,
2,bird,accepted,95.1222,94.9000,-0.2222,17.9000,12.5000,-5.4000,78.0953,83.0375,+4.9422,91.7000,93.7000,+2.0000,1320.4042,1305.4510,
3,cat,accepted,94.8000,94.5556,-0.2444,9.6000,6.0000,-3.6000,85.6992,88.8822,+3.1830,95.1000,96.7000,+1.6000,168.6862,172.6421,
4,deer,accepted,94.2000,94.0889,-0.1111,7.8000,4.3000,-3.5000,86.8524,90.0431,+3.1907,96.0000,97.5000,+1.5000,1257.1410,1262.4921,
5,dog,accepted,95.6222,95.5667,-0.0556,3.3000,1.9000,-1.4000,92.4667,93.7509,+1.2842,99.0000,99.5000,+0.5000,4427.9137,4950.8141,
6,frog,accepted,92.5222,92.5556,+0.0333,8.3000,2.7000,-5.6000,84.8429,90.0566,+5.2137,94.2000,96.3000,+2.1000,281.7640,297.2504,
7,horse,accepted,93.1444,92.9333,-0.2111,9.8000,7.0000,-2.8000,84.0163,86.4280,+2.4117,91.1000,92.8000,+1.7000,176.5560,185.7855,
8,ship,accepted,94.5778,94.4889,-0.0889,14.0000,4.7000,-9.3000,81.3369,90.0479,+8.7110,97.0000,99.1000,+2.1000,2436.5009,2832.9041,
9,truck,accepted,92.9111,92.6778,-0.2333,42.1000,30.9000,-11.2000,53.7955,64.0403,+10.2448,69.6000,79.1000,+9.5000,93.9864,107.4208,
