class_id,class_name,source,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,selectivity_S,our_mia_auc,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,parameter_movement,buffer_movement,refinement_status,results_dir
0,airplane,pure C*,CLIP|DAMP|MASK,92.85555555555555,0.0,92.85555555555555,100.0,0.38922206659317016,0.03921759663687812,0.17953887134927055,221.24977884680635,0.5637129999999999,0.0,8.43048346862793,0.0,8.694500366210937,0.9925777777777778,0.03921759663687812,0.9285555555555556,0.24652090040842692,,,no-op,results/search/plan_a_airplane
1,automobile,refined (hybrid),pure C* + 1 forget step + 1 retain repair (BN frozen),92.60000000000001,5.5,87.507,95.8,0.35636024808883665,0.02935824619597859,0.12103623801453735,178.4213002756128,0.5173826,0.0438,5.036352291107177,0.055,5.219423889160156,0.9913555555555555,0.02935824619597859,0.926,0.2734763808780246,0.00036809890523454577,0.0,accepted,results/search/plan_a_automobile_bn_frozen_refined
2,bird,refined (hybrid),pure C* + 1 forget step + 1 retain repair (BN frozen),94.89999999999999,12.5,83.0375,93.7,0.27526498020887374,0.0049027612961000866,0.1819401439017734,1305.4509607844836,0.5823658,0.1316,5.000787223052979,0.125,6.017086547851562,0.9993777777777778,0.0049027612961000866,0.949,0.18845801629622777,0.0003433976264340223,0.0,accepted,results/search/plan_a_bird_bn_frozen_refined
3,cat,refined (hybrid),pure C* + 1 forget step + 1 retain repair (BN frozen),94.55555555555556,6.0,88.88222222222223,96.7,0.45184426665306093,0.0244906227906545,0.13500262695117163,172.64210869927916,0.6252464,0.0654,4.041271973800659,0.06,4.968404541015625,0.9968,0.0244906227906545,0.9455555555555556,0.17721114301681518,0.0003029996323911384,0.0,accepted,results/search/plan_a_cat_bn_frozen_refined
4,deer,refined (hybrid),pure C* + 1 forget step + 1 retain repair (BN frozen),94.08888888888889,4.3,90.04306666666666,97.5,0.35802458539009097,0.005578115840752919,0.11760524356438003,1262.4921076793887,0.5506501,0.0376,5.684781893920898,0.043,6.1994775390625,0.9989111111111111,0.005578115840752919,0.9408888888888889,0.22093879731496174,0.00037275086750625166,0.0,accepted,results/search/plan_a_deer_bn_frozen_refined
5,dog,refined (hybrid),pure C* + 1 forget step + 1 retain repair (BN frozen),95.56666666666666,1.9,93.7509,99.5,0.1267153344511986,0.00237655942009555,0.11256864991192107,4950.8140597618085,0.599109,0.0252,6.597245001220704,0.019,7.537350219726562,1.0,0.00237655942009555,0.9556666666666667,0.15531936550140382,0.0003573587930271963,0.0,accepted,results/search/plan_a_dog_bn_frozen_refined
6,frog,refined (hybrid),DAMP|MASK + 2 gradient steps,92.55555555555556,2.7,90.05655555555556,96.3,0.3585377628326416,0.02243327834142579,0.14506592313859232,297.2503980820093,0.5234544999999999,0.0276,6.339512130737305,0.027,6.567111145019531,0.9932888888888889,0.02243327834142579,0.9255555555555556,0.2666121875974867,0.0004199096658474069,0.0,accepted,results/search/plan_a_frog_bn_frozen_refined
7,horse,refined (hybrid),pure C* + 1 forget step + 1 retain repair (BN frozen),92.93333333333334,7.000000000000001,86.428,92.80000000000001,0.48985749464035033,0.03510534821616279,0.12202356958051364,185.78550100552397,0.5513534,0.0518,6.314113900756836,0.07,6.801842468261719,0.9902222222222222,0.03510534821616279,0.9293333333333333,0.295140079498291,0.00039371478554297814,0.0,accepted,results/search/plan_a_horse_bn_frozen_refined
8,ship,refined (hybrid),DAMP|MASK + 2 gradient steps,94.4888888888889,4.7,90.0479111111111,99.1,0.16310401439666747,0.002990960677133666,0.1128027971810787,2832.9040907761523,0.540831,0.059,5.239386746978759,0.047,5.76138232421875,0.9996888888888888,0.002990960677133666,0.9448888888888889,0.20707519054412843,0.0004087742059424814,0.0,accepted,results/search/plan_a_ship_bn_frozen_refined
9,truck,refined (hybrid),pure C* + 1 forget step + 1 retain repair (BN frozen),92.67777777777778,30.9,64.04034444444444,79.10000000000001,0.38744355211257936,0.030116976441939673,0.11663303382786347,107.42078992878463,0.5224636,0.302,3.1142231750488283,0.309,3.555809661865234,0.9912666666666666,0.030116976441939673,0.9267777777777778,0.27894390662511187,0.00030650170688702877,0.0,accepted,results/search/plan_a_truck_bn_frozen_refined
