front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,obj1_normalised,obj2_normalised,obj3_normalised,crowding_distance,n_actions,operators,strategy,chromosome
0,0.4240590035915375,0.029683172702789307,0.17733656319653776,0.0,0.001328869854859789,0.9254836988721074,inf,4,CLIP|DAMP|MASK,"stem:DAMP@2(ratio=0.1, strength=0.25) layer4:MASK@2(ratio=0.05) layer4:DAMP@1(ratio=0.05, strength=0.1) fc:CLIP@2(ratio=0.2, limit=2.0)",1 0 0 0 1 1 1 0 1 0 0 0 0 2 1 0 0 2 0 0 0 2 2 0 2 1 2 0 1 2
1,0.6902642250061035,0.0018367574084550142,0.01456070843702538,0.9982635531072063,0.0,0.0,inf,1,CLIP,"fc:CLIP@2(ratio=0.2, limit=2.0)",1 0 0 0 0 1 0 0 0 0 0 0 2 2 1 0 0 2 0 0 0 2 2 0 0 1 2 2 0 2
2,0.6744071245193481,0.09093794599175453,0.050372116339284595,0.9370263040570664,0.0802938797683304,0.0,inf,3,CLIP|MASK|QUANTIZE,"stem:MASK@1(ratio=0.01) stem:QUANTIZE@2(ratio=0.4, bits=4) fc:CLIP@2(ratio=0.2, limit=2.0)",1 0 0 0 0 1 0 0 2 0 0 0 3 2 3 0 3 2 1 2 0 1 2 0 2 1 2 0 1 2
3,0.35969409346580505,0.008294112514704466,0.11934969111790333,0.0,0.0026344692227610756,0.6596885432047951,0.6421855613476082,4,DAMP|MASK|RESET,"stem:DAMP@2(ratio=0.1, strength=0.25) layer4:MASK@1(ratio=0.01) layer4:DAMP@2(ratio=0.1, strength=0.25) fc:RESET@2(ratio=0.1)",1 0 0 0 1 1 1 0 0 0 0 0 0 4 1 0 0 4 0 0 0 2 1 0 2 0 2 0 2 2
4,0.6536619067192078,0.004229954909533262,0.0798201259147349,0.857533318594096,0.0019600017497044602,0.1229237063387663,0.8859222916259292,2,DAMP|PRUNE,"layer4:PRUNE@1(ratio=0.5) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 0 0 0 1 0 0 0 0 0 1 0 0 4 1 0 0 0 1 2 0 0 1 0 2 0 2 0 2 2
5,0.4002479016780853,0.005046882899478078,0.11547182244829807,0.1253287581700615,0.0,0.2093044406014542,0.32658861665392824,4,DAMP|MASK,"stem:DAMP@2(ratio=0.1, strength=0.25) layer4:MASK@1(ratio=0.01) layer4:DAMP@1(ratio=0.05, strength=0.1) fc:DAMP@2(ratio=0.1, strength=0.25)",1 0 0 0 1 1 1 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0 1 0 2 0 2 0 1 2
6,0.41132500767707825,0.00511956587433815,0.11264798639177834,0.16140368892435586,0.00011638112582244348,0.19656265895756386,0.11715519243471338,3,DAMP|MASK,"layer4:MASK@1(ratio=0.01) layer4:DAMP@1(ratio=0.05, strength=0.1) fc:DAMP@2(ratio=0.1, strength=0.25)",0 0 0 0 1 1 1 0 0 0 0 1 0 4 1 0 0 0 0 0 0 0 1 0 2 0 2 0 1 2
7,0.36176466941833496,0.007175048580393195,0.1461735117202907,0.0,0.0034076524572420695,0.34783734866426574,1.1982164975667948,5,DAMP|MASK|RESET,"stem:DAMP@2(ratio=0.1, strength=0.25) layer4:MASK@1(ratio=0.01) layer4:DAMP@1(ratio=0.05, strength=0.1) fc:MASK@2(ratio=0.05) fc:RESET@1(ratio=0.05)",1 0 0 0 1 1 1 0 0 0 0 0 0 2 1 0 0 4 0 1 0 0 1 2 2 1 2 0 1 1
8,0.41132500767707825,0.00511956587433815,0.11264798639177834,0.16140368892435586,0.00011638112582244348,0.19656265895756386,0.726208861124071,3,DAMP|MASK,"layer4:MASK@1(ratio=0.01) layer4:DAMP@1(ratio=0.05, strength=0.1) fc:DAMP@2(ratio=0.1, strength=0.25)",0 0 0 0 1 1 1 0 0 0 0 0 0 3 1 2 0 0 0 0 0 0 1 0 2 0 2 0 1 2
9,0.6744071245193481,0.09093794599175453,0.050372116339284595,0.9506398099858344,0.04968848761515497,0.1107793470825387,1.151725054710454,3,CLIP|MASK|QUANTIZE,"stem:MASK@1(ratio=0.01) stem:QUANTIZE@2(ratio=0.4, bits=4) fc:CLIP@2(ratio=0.2, limit=2.0)",1 0 0 0 0 1 0 0 2 0 0 0 3 2 3 0 0 2 1 2 0 1 2 0 2 1 2 0 1 2
