front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,selectivity_S,mia_auc,operators,role
0,0.38922206659317016,0.03921759663687812,0.17953887134927055,0.0,8.43048346862793,0.0,8.694500366210937,0.9925777777777778,0.03921759663687812,0.9285555555555556,0.24652090040842692,221.24977884680635,0.5637129999999999,CLIP|DAMP|MASK,selected C*; strongest forgetting
1,0.6888238306045532,0.001190702364179823,0.01456070843702538,1.0,0.001480060290172696,0.956,0.15665061807632447,1.0,0.001190702364179823,0.947,0.20086366181903414,6.841668835086801,0.5965673999999999,CLIP,
2,0.6855890060424805,0.06449085941314697,0.05040240528355248,0.9986,0.007155650026071817,0.955,0.1305439615249634,0.9799555555555556,0.06449085941314697,0.9115555555555556,0.3572850030263265,0.09739439274354837,0.5711407000000001,CLIP|MASK|QUANTIZE,
3,0.3475283007144928,0.010691398413976034,0.12052971876780144,0.1464,3.7309275329589844,0.123,4.419108581542969,0.9989111111111111,0.010691398413976034,0.9426666666666667,0.19526467005411785,389.62049376816947,0.5742934,DAMP|MASK|RESET,
4,0.6394485871315002,0.0025117792622910604,0.07967213015668573,0.9794,0.08241243660449982,0.844,0.622105354309082,1.0,0.0025117792622910604,0.9492222222222222,0.18004264810350207,58.428306279367376,0.5705622000000001,DAMP|PRUNE,
5,0.3760888556480408,0.007420073158211179,0.11700838767222187,0.303,2.6805254959106444,0.255,3.4902008056640623,0.9991111111111111,0.007420073158211179,0.9447777777777778,0.19959453614552816,425.19255363003,0.5732994,DAMP|MASK,
6,0.3800380633354187,0.004460233821471532,0.1138156369819019,0.3008,2.684176915740967,0.257,3.4995404663085936,0.9998,0.004460233821471532,0.947,0.18109076839023167,802.844099871262,0.5736074,DAMP|MASK,best selectivity
7,0.35002863931655886,0.009645386754141913,0.14619516733150265,0.1298,3.7503496109008787,0.109,4.446426788330078,0.9990888888888889,0.009645386754141913,0.9438888888888889,0.20000483809577094,439.6916189589782,0.5726778,DAMP|MASK|RESET,
8,0.3800380633354187,0.004460233821471532,0.1138156369819019,0.3008,2.684176915740967,0.257,3.4995404663085936,0.9998,0.004460233821471532,0.947,0.18109076839023167,802.844099871262,0.5736074,DAMP|MASK,
9,0.6855890060424805,0.06449085941314697,0.05040240528355248,0.9986,0.007155650026071817,0.955,0.1305439615249634,0.9799555555555556,0.06449085941314697,0.9115555555555556,0.3572850030263265,0.09739439274354837,0.5711407000000001,CLIP|MASK|QUANTIZE,
