front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,obj1_normalised,obj2_normalised,obj3_normalised,crowding_distance,n_actions,operators,strategy,chromosome
0,0.3674714267253876,0.004514678497798741,0.19985439118752543,0.0,0.0,0.6837656092984343,inf,3,MASK|NOISE|RANDOM_PRUNE,"layer3:RANDOM_PRUNE@1(ratio=0.05) layer4:MASK@1(ratio=0.01) layer4:NOISE@1(ratio=0.1, sigma=0.5)",0 0 1 1 1 0 1 0 1 2 0 2 2 3 3 2 1 0 1 0 0 1 1 1 2 1 0 0 1 2
1,0.6710990071296692,0.0016514483140781522,0.05562679408194273,0.524485902817283,0.0,0.0,inf,1,MASK,fc:MASK@1(ratio=0.01),0 1 1 0 0 1 0 2 0 2 2 0 4 2 0 0 0 2 2 0 0 0 1 1 1 0 0 1 0 0
2,0.6710990071296692,0.0016514483140781522,0.05562679408194273,0.524485902817283,0.0,0.0,inf,1,MASK,fc:MASK@1(ratio=0.01),0 1 0 0 0 1 0 0 2 2 2 0 4 2 3 0 1 2 2 0 0 2 0 1 2 0 0 0 0 0
3,0.6536787152290344,0.8054118752479553,0.07546818919819985,0.0,1.0,0.14632013150561438,0.9985299853319952,1,CLIP,"layer1:CLIP@1(ratio=0.1, limit=3.0)",0 1 0 0 0 0 0 2 0 2 2 0 4 2 4 1 0 2 2 0 0 0 0 1 2 1 0 0 0 0
4,0.6299270391464233,0.7823096513748169,0.09345190005043126,0.419449808262395,0.21546166548493254,0.2723107836734057,1.7015856010644022,2,CLIP|MASK,"layer1:CLIP@1(ratio=0.1, limit=3.0) fc:MASK@1(ratio=0.01)",0 1 0 0 0 1 0 2 0 2 2 0 4 2 4 1 1 2 2 0 0 0 0 1 2 1 0 0 0 0
5,0.38890111446380615,0.027580653317272663,0.12038751042777208,0.06620213101220179,0.005750764206140308,0.3554989824429954,1.0767107267052058,3,CLIP|MASK|PRUNE,"stem:PRUNE@1(ratio=0.5) stem:CLIP@1(ratio=0.1, limit=3.0) layer4:MASK@1(ratio=0.01)",1 0 0 0 1 0 1 1 0 0 0 0 2 3 3 2 1 1 1 0 0 1 1 2 1 0 0 2 0 1
6,0.6536787152290344,0.8054118752479553,0.07546818919819985,0.0,1.0,0.14632013150561438,inf,1,CLIP,"layer1:CLIP@1(ratio=0.1, limit=3.0)",0 1 0 0 0 0 0 2 0 0 2 0 1 2 0 4 0 1 2 0 0 0 0 1 2 1 1 0 0 0
7,0.36479252576828003,0.0035128553863614798,0.11666195938689174,0.0,0.0004013300380000372,0.36313858723522097,0.48574646126547644,1,MASK,layer4:MASK@1(ratio=0.01),0 0 0 0 1 0 1 0 1 2 0 0 2 3 3 2 1 1 1 0 0 1 1 2 1 1 0 2 0 2
8,0.6710990071296692,0.0016514483140781522,0.05562679408194273,0.46671212467203965,9.078636625049488e-05,0.2158974778348438,0.3849261889342268,1,MASK,fc:MASK@1(ratio=0.01),0 1 1 0 0 1 0 2 0 2 2 0 4 2 0 1 0 2 2 0 0 0 0 1 2 0 0 0 0 0
9,0.6536787152290344,0.8054118752479553,0.07546818919819985,0.0,0.1746617054053108,0.2929054599237317,0.45759566433574944,1,CLIP,"layer1:CLIP@1(ratio=0.1, limit=3.0)",0 1 0 0 0 0 2 2 0 0 0 0 1 2 1 1 0 3 2 0 0 0 2 1 0 1 2 2 2 1
