front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,selectivity_S,mia_auc,operators,role
0,0.3309717771530151,0.0052765208956268095,0.1994442192792515,0.1778,3.433311842727661,0.176,3.7759853210449217,0.9996666666666667,0.0052765208956268095,0.9417777777777778,0.20322150209214954,828.9131938460273,0.5257118,MASK|NOISE|RANDOM_PRUNE,
1,0.6700326812744141,0.001413915990624163,0.055227850988631685,1.0,0.01825336567759514,0.965,0.15548827266693116,1.0,0.001413915990624163,0.946,0.19946943781110976,62.60977054275978,0.5358951,MASK,
2,0.6700326812744141,0.001413915990624163,0.055227850988631685,1.0,0.01825336567759514,0.965,0.15548827266693116,1.0,0.001413915990624163,0.946,0.19946943781110976,62.60977054275978,0.5358951,MASK,
3,0.6582699239730835,0.8309113945007324,0.0786636735846934,0.8078,0.765678169631958,0.793,0.9073386459350586,0.7828666666666667,0.8309113945007324,0.749,1.0548474231296114,0.9217570628600588,0.5021605,CLIP,
4,0.6347831367492676,0.8174230683220758,0.09596204677383177,0.7112,1.2316779651641845,0.697,1.3637218322753906,0.7824,0.8174230683220758,0.7476666666666667,1.0315169423421224,1.507865215767934,0.5017962,CLIP|MASK,
5,0.36470182390213013,0.027111112670765984,0.12101619302411608,0.113,4.015788765716553,0.127,4.253208862304687,0.9919555555555556,0.027111112670765984,0.9267777777777778,0.26883801725175643,154.56704834819598,0.5187276,CLIP|MASK|PRUNE,selected C*; strongest forgetting
6,0.6582699239730835,0.8309113945007324,0.0786636735846934,0.8078,0.765678169631958,0.793,0.9073386459350586,0.7828666666666667,0.8309113945007324,0.749,1.0548474231296114,0.9217570628600588,0.5021605,CLIP,
7,0.3389765534877777,0.0033088041063812045,0.11748840303119223,0.157,3.5644912719726562,0.172,3.908964813232422,0.9997777777777778,0.0033088041063812045,0.9443333333333334,0.19730102470186023,1639.8010747501703,0.5263338,MASK,best selectivity
8,0.6700326812744141,0.001413915990624163,0.055227850988631685,1.0,0.01825336567759514,0.965,0.15548827266693116,1.0,0.001413915990624163,0.946,0.19946943781110976,62.60977054275978,0.5358951,MASK,
9,0.6582699239730835,0.8309113945007324,0.0786636735846934,0.8078,0.765678169631958,0.793,0.9073386459350586,0.7828666666666667,0.8309113945007324,0.749,1.0548474231296114,0.9217570628600588,0.5021605,CLIP,
