front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,obj1_normalised,obj2_normalised,obj3_normalised,crowding_distance,n_actions,operators,strategy,chromosome
0,0.2677817940711975,0.0021775305503979325,0.18336856368972249,0.0,0.0,0.3463102241213686,inf,3,CLIP|MASK|RANDOM_PRUNE,"stem:CLIP@1(ratio=0.1, limit=3.0) layer3:RANDOM_PRUNE@1(ratio=0.05) layer4:MASK@1(ratio=0.01)",1 0 1 1 1 0 1 0 1 2 0 2 2 3 3 2 1 3 0 1 0 1 1 0 1 1 0 0 0 1
1,0.5591347217559814,0.0028471917612478137,0.09515144331995003,0.6358541517855797,0.0017591439515682779,0.27776706310505045,0.44427488493220557,3,DAMP|PRUNE|RANDOM_PRUNE,"layer1:RANDOM_PRUNE@1(ratio=0.05) layer4:PRUNE@1(ratio=0.5) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 1 0 0 1 0 2 2 2 2 1 0 4 2 2 1 0 4 2 1 1 2 1 1 1 0 0 1 2 0
2,0.5760843753814697,0.0017791842110455036,0.08160650200866314,0.7254912751816239,0.003180760055458954,0.25149961691056494,0.327728714551819,3,DAMP|MASK|PRUNE,"stem:MASK@2(ratio=0.05) layer4:PRUNE@1(ratio=0.5) layer4:DAMP@2(ratio=0.1, strength=0.25)",1 0 0 0 1 0 0 2 2 1 1 0 1 2 0 1 0 2 2 0 1 0 1 1 0 0 0 1 2 0
3,0.6257287263870239,0.0007889251573942602,0.07237499714045353,0.8597301782594463,0.0,0.27647155096674564,0.2172257779271638,1,CLIP,"layer3:CLIP@2(ratio=0.2, limit=2.0)",1 0 1 1 0 0 0 0 1 2 0 0 1 3 3 2 1 3 0 0 0 0 0 1 0 1 0 2 0 1
4,0.6832254528999329,0.011607022024691105,0.06313736690541824,0.48983610046828435,0.7258972192616184,0.19113267748028856,1.9518192638013012,1,MASK,layer1:MASK@1(ratio=0.01),1 1 0 0 0 0 0 0 0 0 0 2 0 3 0 2 1 0 0 1 0 1 1 0 0 0 0 0 0 1
5,0.6802051067352295,0.0156773142516613,0.07504108758565316,0.22018412090251172,1.0,0.22716823165534764,inf,2,MASK|QUANTIZE,"layer1:MASK@1(ratio=0.01) layer1:QUANTIZE@2(ratio=0.4, bits=4)",1 1 0 0 0 0 0 0 0 0 0 2 0 3 0 2 1 0 0 1 0 1 1 0 0 2 0 0 0 1
6,0.687423586845398,0.0009008599445223808,0.009721788933035096,0.8646392081736909,0.004919797108692623,0.02943029840716679,0.7167251596182145,1,DAMP,"fc:DAMP@1(ratio=0.05, strength=0.1)",1 1 0 0 0 1 2 0 0 0 0 2 0 3 0 4 1 0 0 0 0 1 1 0 0 0 0 0 0 1
7,0.6887632012367249,0.0008278033637907356,0.0,0.9842379736057897,0.0,0.0,inf,0,,,1 0 0 0 0 0 1 0 1 0 0 2 0 3 2 2 1 0 0 0 0 1 1 0 0 0 0 2 0 1
8,0.6887632012367249,0.0008278033637907356,0.0,0.9842379736057897,0.0,0.0,inf,0,,,1 1 0 0 0 1 0 2 1 2 0 0 1 2 0 2 1 2 0 0 0 1 1 0 0 0 0 0 1 0
9,0.6781763434410095,0.0014439461519941688,0.08021880341330576,0.03905917411664538,0.04149246347950176,0.24284247874350715,1.0149465983266732,2,MASK|PRUNE,layer4:PRUNE@1(ratio=0.5) fc:MASK@1(ratio=0.01),0 1 0 0 1 1 0 0 2 0 1 0 0 3 2 1 0 4 2 0 1 1 1 1 1 0 2 2 0 0
