front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,obj1_normalised,obj2_normalised,obj3_normalised,crowding_distance,n_actions,operators,strategy,chromosome
0,0.4597305357456207,0.017976591363549232,0.13632763867154235,0.0,0.010577705334227812,0.18915333469411358,inf,6,DAMP|MASK|PRUNE|RANDOM_PRUNE|RESET,"stem:PRUNE@2(ratio=0.7) stem:RESET@1(ratio=0.05) layer4:MASK@1(ratio=0.01) layer4:DAMP@2(ratio=0.1, strength=0.25) fc:RANDOM_PRUNE@1(ratio=0.05) fc:RESET@1(ratio=0.05)",1 0 0 0 1 1 1 2 0 2 0 2 4 3 0 3 0 4 2 0 2 2 1 1 1 0 0 0 2 1
1,0.4935886859893799,0.004450266249477863,0.11589380551783864,0.0,0.0022347941508509958,0.5443357223766083,inf,1,MASK,layer4:MASK@1(ratio=0.01),0 0 1 1 1 1 1 0 1 1 0 1 0 3 3 3 1 2 0 1 0 0 1 0 2 1 0 0 0 0
2,0.6525409817695618,0.0021399440011009574,0.0530511666300592,0.9017067299092004,0.0,0.0,inf,1,DAMP,"layer4:DAMP@2(ratio=0.1, strength=0.25)",0 0 0 0 1 0 2 0 0 1 2 2 0 0 0 2 0 4 0 0 0 2 0 0 1 1 0 0 2 1
3,0.4935886859893799,0.004450266249477863,0.11589380551783864,0.24199054825653932,0.002938447373246023,0.08026863313388949,0.9163307140573005,3,CLIP|DAMP|MASK,"stem:DAMP@1(ratio=0.05, strength=0.1) layer4:MASK@1(ratio=0.01) fc:CLIP@1(ratio=0.1, limit=3.0)",1 0 0 1 1 1 1 0 0 2 0 2 0 3 0 3 0 2 0 1 2 0 1 0 1 0 0 0 0 1
4,0.4597305357456207,0.017976591363549232,0.13632763867154235,0.0983287167726922,0.006199432776938817,0.2933969370831394,0.8882056043849549,6,DAMP|MASK|PRUNE|RANDOM_PRUNE|RESET,"stem:PRUNE@2(ratio=0.7) stem:RESET@1(ratio=0.05) layer4:MASK@1(ratio=0.01) layer4:DAMP@2(ratio=0.1, strength=0.25) fc:RANDOM_PRUNE@1(ratio=0.05) fc:RESET@1(ratio=0.05)",1 1 0 0 1 1 1 2 0 2 0 2 4 3 0 3 0 4 2 0 2 2 1 1 1 0 0 0 2 1
5,0.6180040836334229,0.004229899030178785,0.12127584432318876,0.6921781397371751,0.0016325304832090584,0.12344164847850773,0.8991840126850078,4,DAMP|PRUNE|RANDOM_PRUNE,"layer1:RANDOM_PRUNE@1(ratio=0.05) layer2:PRUNE@1(ratio=0.5) layer4:PRUNE@1(ratio=0.5) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 1 1 0 1 0 1 2 1 2 1 2 4 0 2 1 0 4 0 1 1 0 1 1 1 0 0 1 2 0
6,0.4770811200141907,0.008668130496516824,0.14099762241808775,0.06328618015078473,0.004016110894447239,0.41562467338474474,0.5348570134638027,2,MASK|PRUNE,layer4:MASK@1(ratio=0.01) fc:PRUNE@1(ratio=0.5),0 0 0 0 1 1 1 0 1 2 0 1 0 3 3 3 1 4 0 1 0 0 1 1 1 0 0 0 0 0
7,0.4394591748714447,0.008414018899202347,0.18857954887192852,0.0,0.0037462769953627265,0.4526347931046771,0.40852080193408025,2,MASK|PRUNE,layer2:PRUNE@2(ratio=0.7) layer4:MASK@1(ratio=0.01),0 0 1 0 1 1 1 0 1 0 0 1 0 3 3 3 1 4 0 1 2 0 1 0 1 0 0 0 0 0
8,0.4892933964729309,0.011198535095900297,0.12216474517775214,0.19924878910079302,0.005156005496016778,0.2932238118555,0.557236101819936,4,CLIP|MASK|RESET,"stem:RESET@1(ratio=0.05) layer4:MASK@1(ratio=0.01) layer4:CLIP@2(ratio=0.2, limit=2.0) fc:RESET@1(ratio=0.05)",1 0 0 1 1 1 0 1 0 2 0 0 4 3 0 3 2 4 0 0 2 0 1 0 1 0 0 0 2 1
9,0.6407868266105652,0.0028074121801182628,0.07228145767347335,0.7896478071310123,0.0012638087891204879,0.0,0.5341674405050528,2,DAMP|RANDOM_PRUNE,"layer1:RANDOM_PRUNE@1(ratio=0.05) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 1 1 0 1 0 1 2 1 1 1 2 0 0 2 2 0 4 0 1 0 2 0 1 1 0 0 0 2 0
