front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,selectivity_S,mia_auc,operators,role
0,0.44765749216079714,0.020665101255310906,0.13499342610940174,0.1278,3.303386418914795,0.096,4.304966979980469,0.9978666666666667,0.020665101255310906,0.948,0.16956545363532172,168.68620487446105,0.6293716,DAMP|MASK|PRUNE|RANDOM_PRUNE|RESET,selected C*; strongest forgetting
1,0.47641752152442934,0.004037168803811073,0.1140434084855264,0.5336,1.4681189962387085,0.365,2.9216636657714843,0.9997111111111111,0.004037168803811073,0.9558888888888889,0.150240162147416,497.62894532703297,0.6376935,MASK,best selectivity
2,0.6453240085601807,0.0021371131016148463,0.05293509902941098,0.9728,0.09404103266000748,0.705,1.223813217163086,1.0,0.0021371131016148463,0.9572222222222222,0.14811776962545184,88.57625650439941,0.6387863,DAMP,
3,0.48450349979400636,0.005972865236798922,0.11443795223175568,0.5036,1.6015638109207153,0.355,2.9696439819335936,0.9990666666666667,0.005972865236798922,0.9535555555555556,0.1612499908871121,327.7045597036566,0.630481,CLIP|DAMP|MASK,
4,0.44765749216079714,0.020665101255310906,0.13499342610940174,0.1278,3.303386418914795,0.096,4.304966979980469,0.9978666666666667,0.020665101255310906,0.948,0.16956545363532172,168.68620487446105,0.6293716,DAMP|MASK|PRUNE|RANDOM_PRUNE|RESET,
5,0.6171190732955932,0.003619880661037233,0.12122160975386222,0.9466,0.16795046027898788,0.697,1.2951632690429689,0.9998666666666667,0.003619880661037233,0.9557777777777777,0.14869763429959615,65.881207418486,0.6275813,DAMP|PRUNE|RANDOM_PRUNE,
6,0.46180168104171754,0.00797612044480112,0.13948065955229658,0.465,1.7120943115234375,0.327,3.0351864318847657,0.9996,0.00797612044480112,0.9557777777777777,0.1496853012508816,248.42906105315782,0.6360044,MASK|PRUNE,
7,0.43968928179740907,0.007996956504384676,0.18707826527478635,0.4334,1.884355414199829,0.307,3.256638488769531,0.9988444444444444,0.007996956504384676,0.9512222222222222,0.16898197168774076,272.6178872998408,0.6322104000000001,MASK|PRUNE,
8,0.4645341504573822,0.011893742349412706,0.1212070780825712,0.3978,1.9031990665435792,0.284,3.0632684936523438,0.9991111111111111,0.011893742349412706,0.9535555555555556,0.15642639989323087,176.03696747388173,0.633761,CLIP|MASK|RESET,
9,0.6405212814331055,0.0028120757824844785,0.07205195075946355,0.9646,0.11298952584564685,0.72,1.2169253692626953,0.9998222222222222,0.0028120757824844785,0.9562222222222222,0.1583025307390425,64.8701002711073,0.6290366,DAMP|RANDOM_PRUNE,
