front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,obj1_normalised,obj2_normalised,obj3_normalised,crowding_distance,n_actions,operators,strategy,chromosome
0,0.6881364583969116,0.0012025002506561577,0.0,0.9972837878127893,0.0,0.0,inf,0,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0
1,0.6881364583969116,0.0012025002506561577,0.0,0.9972837878127893,0.0,0.0,inf,0,,,0 0 0 0 0 0 0 0 1 0 0 1 1 0 2 0 2 3 2 0 0 2 0 2 0 1 1 1 2 0
2,0.370205283164978,0.008397501427680254,0.11849272590473238,0.0,0.3699084250105274,0.29207102650834393,inf,1,MASK,layer4:MASK@1(ratio=0.01),0 0 1 0 1 0 0 2 0 0 0 0 1 2 4 0 0 0 0 0 0 2 1 2 0 2 0 0 0 0
3,0.5444778203964233,0.025257195346057415,0.10457526937664027,0.5786665877970767,1.0,0.14197470989896382,inf,4,CLIP|DAMP|PRUNE|RANDOM_PRUNE,"layer1:RANDOM_PRUNE@1(ratio=0.05) layer1:CLIP@2(ratio=0.2, limit=2.0) layer4:PRUNE@1(ratio=0.5) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 1 0 0 1 0 2 2 0 2 1 0 4 2 2 0 0 4 0 1 2 2 1 2 1 2 0 1 2 0
4,0.3885227143764496,0.005859255441464484,0.15496005980383187,0.0,0.004387303661166438,0.8212154635503462,inf,2,MASK|QUANTIZE,"layer4:MASK@1(ratio=0.01) layer4:QUANTIZE@2(ratio=0.4, bits=4)",0 0 0 0 1 0 2 1 0 0 0 0 4 2 2 0 3 4 0 1 2 2 1 1 0 2 0 1 2 0
5,0.370205283164978,0.008397501427680254,0.11849272590473238,0.06357145490518969,0.10070171787265446,0.39211442277709696,0.8074088316164374,1,MASK,layer4:MASK@1(ratio=0.01),0 0 0 0 1 0 2 1 2 0 0 0 4 0 2 0 0 4 0 1 1 2 1 1 0 0 0 1 0 0
6,0.6293399930000305,0.0060118448454886675,0.06970434236293527,0.8150654293213349,0.24869645937830898,0.17181323723111736,0.6489885945344827,2,CLIP,"layer2:CLIP@1(ratio=0.1, limit=3.0) layer4:CLIP@2(ratio=0.2, limit=2.0)",0 0 1 0 1 0 1 2 1 0 0 0 1 2 2 0 2 3 2 0 0 2 0 0 2 1 1 1 2 0
7,0.5444778203964233,0.025257195346057415,0.10457526937664027,0.5205205339622966,0.022662830133008845,0.5541997623500939,0.5961971068763089,4,CLIP|DAMP|PRUNE|RANDOM_PRUNE,"layer1:RANDOM_PRUNE@1(ratio=0.05) layer1:CLIP@2(ratio=0.2, limit=2.0) layer4:PRUNE@1(ratio=0.5) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 1 0 0 1 0 2 2 0 0 1 0 4 2 3 0 0 4 0 1 1 2 1 1 1 2 0 1 2 0
8,0.5714439153671265,0.0032047636341303587,0.09628870335626649,0.6329628796400449,0.001723939216015503,0.48242606429478785,0.3803714832293062,1,MASK,fc:MASK@2(ratio=0.05),0 0 0 0 0 1 0 2 1 1 2 0 1 0 4 0 0 0 2 0 0 2 1 2 0 2 0 0 2 0
9,0.370205283164978,0.008397501427680254,0.11849272590473238,0.0,0.0061948616704098885,0.5936727509381385,0.3414706214829202,1,MASK,layer4:MASK@1(ratio=0.01),0 0 1 0 1 0 0 2 0 0 0 0 1 2 4 0 2 0 0 0 0 2 1 2 0 2 0 0 0 0
