front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,obj1_normalised,obj2_normalised,obj3_normalised,crowding_distance,n_actions,operators,strategy,chromosome
0,0.6892837882041931,0.0009764421556610614,0.0,0.9996983210352567,0.0,0.0,inf,0,,,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 3 0 1 0 0 0 2 2 0 0 0 0 0
1,0.5590436458587646,0.002859451458789408,0.07406556331680503,0.7871038369174734,0.35223826568715355,0.1146007413039987,inf,3,DAMP|RANDOM_PRUNE,"layer1:RANDOM_PRUNE@1(ratio=0.05) layer1:DAMP@1(ratio=0.05, strength=0.1) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 1 0 0 1 0 1 2 1 2 1 2 4 0 0 1 0 4 1 1 0 2 0 1 0 1 2 2 2 0
2,0.6800459623336792,0.0013511742581613362,0.09825709089403567,0.925499693077098,0.00031564813094544364,0.44243142750591624,inf,2,DAMP|QUANTIZE,"layer2:QUANTIZE@2(ratio=0.4, bits=4) fc:DAMP@2(ratio=0.1, strength=0.25)",0 0 1 0 1 1 0 0 0 0 0 2 2 3 3 0 0 0 1 0 0 1 0 0 0 0 2 0 0 2
3,0.11641965806484222,0.0031658942461945117,0.11108908725053177,0.0,0.0012207951057136468,0.28970365923019886,inf,1,MASK,layer4:MASK@1(ratio=0.01),0 0 0 0 1 0 0 0 0 0 0 1 2 3 0 1 1 3 1 1 0 0 1 0 1 0 1 0 0 1
4,0.5925354957580566,0.0016904339427128434,0.054940996880270536,0.8466613039508016,0.0611571121855882,0.00714731349956346,1.1196861056617258,2,DAMP|RESET,"layer1:RESET@2(ratio=0.1) layer4:DAMP@2(ratio=0.1, strength=0.25)",1 1 1 0 1 0 1 2 1 0 1 2 4 4 0 1 0 3 0 0 0 2 0 0 0 2 0 2 2 0
5,0.5049527883529663,0.04826177656650543,0.08212944904211679,0.6782377919292981,0.026379343607161827,0.21225607341900216,0.7221188845402271,4,DAMP|RANDOM_PRUNE,"stem:RANDOM_PRUNE@1(ratio=0.05) layer1:DAMP@1(ratio=0.05, strength=0.1) layer2:DAMP@2(ratio=0.1, strength=0.25) layer4:DAMP@2(ratio=0.1, strength=0.25)",1 1 1 0 1 0 2 2 1 0 1 2 0 0 0 1 0 4 1 0 0 1 0 0 0 1 2 2 2 0
6,0.5925354957580566,0.0016904339427128434,0.054940996880270536,0.2925980596605779,0.0006506239718721799,0.23981803599822715,0.7049585814820089,1,DAMP,"layer4:DAMP@2(ratio=0.1, strength=0.25)",0 0 1 0 1 0 1 2 0 0 1 2 4 4 0 1 0 3 0 0 0 2 0 0 0 2 0 2 2 1
7,0.5653591156005859,0.003556754207238555,0.060573353477308335,0.0938904280452743,0.00235130558377872,0.26440333247704506,0.42104413174360966,3,DAMP|RANDOM_PRUNE,"stem:RANDOM_PRUNE@1(ratio=0.05) layer1:DAMP@1(ratio=0.05, strength=0.1) layer4:DAMP@2(ratio=0.1, strength=0.25)",1 1 1 0 1 0 2 2 1 0 2 2 0 0 0 1 0 4 1 0 0 0 0 0 0 1 0 2 2 0
8,0.5523817539215088,0.00228107871953398,0.06205852847248492,0.7016792108075476,0.012986451672953538,0.1618800296068577,0.3854434905673866,2,DAMP,"layer4:DAMP@2(ratio=0.1, strength=0.25) fc:DAMP@2(ratio=0.1, strength=0.25)",0 0 1 1 1 1 0 2 0 0 0 2 2 0 1 1 0 0 1 0 0 0 0 0 2 1 0 0 2 2
9,0.5933542847633362,0.0017582540167495608,0.06733945885245537,0.8339162649770391,0.006717272504846814,0.04555524601504513,0.33263872735159883,3,DAMP|QUANTIZE|RESET,"layer1:RESET@1(ratio=0.05) layer2:QUANTIZE@1(ratio=0.3, bits=5) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 1 1 0 1 0 1 0 0 0 0 1 4 4 3 1 0 3 0 0 0 1 0 0 2 1 1 2 2 1
