front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,selectivity_S,mia_auc,operators,role
0,0.689304368686676,0.0010443345942431027,0.0,1.0,0.0016476026266813279,0.909,0.37551277923583987,1.0,0.0010443345942431027,0.9522222222222222,0.1787000315454271,nan,0.6271434000000001,,
1,0.5295970093727111,0.0026425741808282005,0.07468359763198078,0.8018,0.5713291935443878,0.625,1.95378955078125,0.9998444444444444,0.0026425741808282005,0.954,0.16976672781838312,356.44317391419713,0.5930251,DAMP|RANDOM_PRUNE,
2,0.6812381569862366,0.0014640268387065994,0.0993686534600661,0.9998,0.0072060422912240026,0.898,0.4118192825317383,1.0,0.0014640268387065994,0.953,0.16858429182900322,13.244084773708815,0.6230292,DAMP|QUANTIZE,
3,0.14029261487722397,0.002299760785036617,0.11255509802669265,0.0464,5.560566432189941,0.033,6.569080200195312,1.0,0.002299760785036617,0.9562222222222222,0.15504744137658014,4427.913700007842,0.601974,MASK,selected C*; best selectivity; strongest forgetting
4,0.5570997106552124,0.00168402908080154,0.05498740823971156,0.8564,0.3811444323658943,0.658,1.7550307159423828,1.0,0.00168402908080154,0.9551111111111111,0.15998881000942655,593.246991670836,0.5987727999999999,DAMP|RESET,
5,0.4509231831550598,0.042625994582970936,0.0826954317570352,0.4898,2.3553005393981934,0.443,3.330585235595703,0.9856888888888888,0.042625994582970936,0.926,0.282896680937873,56.60314998029305,0.5560512,DAMP|RANDOM_PRUNE,
6,0.5570997106552124,0.00168402908080154,0.05498740823971156,0.8564,0.3811444323658943,0.658,1.7550307159423828,1.0,0.00168402908080154,0.9551111111111111,0.15998881000942655,593.246991670836,0.5987727999999999,DAMP,
7,0.5301922659873962,0.0027242507464355892,0.06088193243512351,0.7982,0.5850801101446151,0.643,1.9109810333251953,0.9998222222222222,0.0027242507464355892,0.9507777777777778,0.1742134125497606,347.2985879423127,0.5831499,DAMP|RANDOM_PRUNE,
8,0.511291816329956,0.002173124022947417,0.06205559009082571,0.7918,0.5708647373437882,0.616,1.9754334259033204,1.0,0.002173124022947417,0.955,0.15768888812594944,504.2722054639412,0.5989741,DAMP,
9,0.5559080715179443,0.0016891484752297402,0.06740807694745954,0.8566,0.3881820696592331,0.655,1.7636179504394531,0.9999777777777777,0.0016891484752297402,0.9565555555555556,0.16074425522486369,599.4512190728752,0.5978295,DAMP|QUANTIZE|RESET,
