front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,obj1_normalised,obj2_normalised,obj3_normalised,crowding_distance,n_actions,operators,strategy,chromosome
0,0.6515975594520569,0.001281434262637049,0.052365062832100566,0.9106228862014978,0.0,0.0,inf,1,DAMP,"layer4:DAMP@2(ratio=0.1, strength=0.25)",0 0 0 0 1 0 2 0 0 0 2 0 2 2 2 0 0 4 0 0 0 1 0 0 1 1 0 0 2 2
1,0.37486734986305237,0.0018540576566010714,0.12031149525391902,0.0,0.0001887618667758182,0.4311388461633936,inf,2,MASK|QUANTIZE,"layer3:QUANTIZE@1(ratio=0.3, bits=5) layer4:MASK@1(ratio=0.01)",0 0 0 1 1 0 0 0 0 0 0 2 2 3 3 3 0 4 0 1 2 0 1 0 0 1 0 1 0 2
2,0.37486734986305237,0.0018540576566010714,0.12031149525391902,0.1291113982447515,0.0001512689735239886,0.5346161761047122,inf,2,MASK|QUANTIZE,"layer3:QUANTIZE@1(ratio=0.3, bits=5) layer4:MASK@1(ratio=0.01)",0 0 0 1 1 0 0 0 0 0 0 2 2 3 3 3 0 4 0 1 2 0 1 0 0 1 0 1 0 2
3,0.32478582859039307,2.3802757263183594,0.14593281533028987,0.0,0.6746718471992752,0.34406977610998407,inf,3,DAMP|MASK,"layer1:MASK@2(ratio=0.05) layer1:DAMP@1(ratio=0.05, strength=0.1) layer4:DAMP@2(ratio=0.1, strength=0.25)",1 1 0 0 1 0 1 0 2 0 0 2 2 0 2 0 0 3 0 2 2 0 0 0 0 1 0 0 2 0
4,0.590569257736206,0.042884375900030136,0.07891807545880361,0.7697046906909196,0.05623590801474709,0.11761505418648759,1.4252631485440332,2,CLIP|DAMP,"layer1:CLIP@1(ratio=0.1, limit=3.0) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 1 0 0 1 0 2 0 0 0 2 0 2 2 2 0 0 4 0 0 0 1 0 0 2 1 0 0 2 2
5,0.3865973651409149,0.0017680168384686112,0.11153689957326948,0.33176568201528506,0.0001394429729165865,0.49618816552389544,0.7581041065966152,2,MASK|RESET,layer3:RESET@1(ratio=0.05) layer4:MASK@1(ratio=0.01),0 0 0 1 1 0 0 0 0 0 0 2 2 3 3 4 0 4 0 1 2 0 1 2 0 1 0 1 0 2
6,0.6515975594520569,0.001281434262637049,0.052365062832100566,0.6832607175251593,0.007564695225983936,0.20262624617560857,0.7496322779713127,1,DAMP,"layer4:DAMP@2(ratio=0.1, strength=0.25)",0 0 0 0 1 0 2 0 0 0 0 0 2 2 2 1 0 4 2 0 0 2 0 1 1 0 0 1 2 0
7,0.3865973651409149,0.0017680168384686112,0.11153689957326948,0.16932571163217808,0.0002473582033382532,0.21758821897474243,0.4537078625027431,1,MASK,layer4:MASK@1(ratio=0.01),0 0 0 0 1 0 0 2 2 0 0 2 2 0 2 0 0 4 0 1 2 0 1 0 0 1 1 1 0 0
8,0.34363144636154175,0.004805115517228842,0.14087770440251926,0.05162543787662615,0.0011085257817696071,0.3254809905648484,0.3892132372254146,2,DAMP|MASK,"layer3:DAMP@2(ratio=0.1, strength=0.25) layer4:MASK@1(ratio=0.01)",0 0 0 1 1 0 0 2 0 0 0 1 2 0 2 0 0 3 0 1 2 0 1 0 0 1 0 2 0 0
9,0.6244295835494995,0.00131099799182266,0.05870441707205481,0.8132707538327909,3.50611799616556e-05,0.045606744115859854,0.37495497443413073,2,DAMP,"layer3:DAMP@1(ratio=0.05, strength=0.1) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 3 0 1 2 0 0 2 0 1 0 1 2 0
