front_position,operators,strategy,f1_js,f2_retain_train_loss,f3_edit_cost,forget_test_acc,retain_test_acc,selectivity_S,role
0,DAMP,"[[4,""smoother"",0,2]]",0.6417824136734008,0.0014770742043852807,0.053343748919943555,0.857,0.9462222222222222,271.2438516443862,
1,MASK|QUANTIZE,"[[3,""smoother"",3,1],[4,""editor"",0,1]]",0.3140825391769409,0.0017361998352739545,0.12369435790543931,0.302,0.9435555555555556,4447.419748605133,best selectivity (S=4447)
2,MASK|QUANTIZE,"[[3,""smoother"",3,1],[4,""editor"",0,1]]",0.3140825391769409,0.0017361998352739545,0.12369435790543931,0.302,0.9435555555555556,4447.419748605133,
3,DAMP|MASK,"[[1,""editor"",0,2],[1,""smoother"",0,1],[4,""smoother"",0,2]]",0.3514167281150818,4.508476554361979,0.15569136434544473,0.004,0.24933333333333332,1.7086797755747003,strongest forgetting
4,CLIP|DAMP,"[[1,""smoother"",2,1],[4,""smoother"",0,2]]",0.5100110286712647,0.09030455781088935,0.08238179158528859,0.648,0.9094444444444445,13.493533655557899,
5,MASK|RESET,"[[3,""smoother"",4,1],[4,""editor"",0,1]]",0.3248010290145874,0.0017182753463586171,0.11479321282472264,0.341,0.9428888888888889,4259.994885281467,
6,DAMP,"[[4,""smoother"",0,2]]",0.6417824136734008,0.0014770742043852807,0.053343748919943555,0.857,0.9462222222222222,271.2438516443862,
7,MASK,"[[4,""editor"",0,1]]",0.3248010290145874,0.0017182753463586171,0.11479321282472264,0.341,0.9428888888888889,4259.994885281467,
8,DAMP|MASK,"[[3,""smoother"",0,2],[4,""editor"",0,1]]",0.3637044870376587,0.01890545732975006,0.1450542156247325,0.083,0.9252222222222222,281.7640363277703,C*  (selected)
9,DAMP,"[[3,""smoother"",0,1],[4,""smoother"",0,2]]",0.5998412675857544,0.002197788039677673,0.059691698889775276,0.79,0.9434444444444444,252.9751837217148,
