front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,obj1_normalised,obj2_normalised,obj3_normalised,crowding_distance,n_actions,operators,strategy,chromosome
0,0.5005183815956116,0.0991399995982647,0.22209697288049718,0.5422267504248053,0.00023199359391829128,0.7954363402076932,inf,1,MASK,layer3:MASK@2(ratio=0.05),0 0 0 1 0 0 2 0 2 0 0 0 2 0 2 0 0 3 0 0 1 2 0 0 2 1 0 0 0 0
1,0.2841465473175049,0.2824060320854187,0.18568465382612148,0.0,0.0006660020723951258,0.6459787590564084,inf,3,CLIP|MASK|RANDOM_PRUNE,"stem:CLIP@2(ratio=0.2, limit=2.0) layer3:RANDOM_PRUNE@1(ratio=0.05) layer4:MASK@1(ratio=0.01)",1 0 0 1 1 0 1 0 1 2 0 2 2 3 3 2 1 3 0 1 0 1 1 0 2 1 2 0 0 1
2,0.6869423985481262,0.004303286550566554,0.0416649707090811,0.7774437456203338,0.6329518165503103,0.11789673868977793,inf,1,DAMP,"layer2:DAMP@2(ratio=0.1, strength=0.25)",0 0 1 0 1 0 2 0 1 2 2 0 1 0 0 0 0 4 1 1 0 1 0 0 2 1 2 0 0 0
3,0.6900091171264648,0.0008805799880065024,0.0,0.9974634349701355,0.0,0.0,inf,0,,,0 0 0 0 1 0 2 0 2 2 2 0 2 0 0 0 0 2 1 0 0 1 0 0 2 1 2 0 0 0
4,0.6900091171264648,0.0008805799880065024,0.0,0.9974634349701355,0.0,0.0,inf,0,,,0 0 0 0 0 0 1 0 2 0 2 1 4 0 0 0 0 3 1 2 1 0 0 0 2 2 2 0 1 1
5,0.6800082921981812,0.002369389054365456,0.050209002964845026,0.2742255019854487,0.2753214118196665,0.14207324766294477,1.4041508420756812,2,DAMP|RANDOM_PRUNE,"layer1:RANDOM_PRUNE@1(ratio=0.05) layer1:DAMP@1(ratio=0.05, strength=0.1)",0 1 0 0 0 0 2 2 2 2 1 0 4 0 2 3 1 3 2 1 1 1 1 0 1 1 0 0 2 1
6,0.17185133695602417,0.0018494123360142112,0.11300230530045043,0.0,0.002996779198929559,0.45356999343618226,0.6510671236581463,2,MASK|RESET,stem:RESET@2(ratio=0.1) layer4:MASK@1(ratio=0.01),1 0 0 1 1 0 1 0 1 2 0 2 4 3 3 0 0 3 0 2 0 0 1 0 2 2 2 0 0 2
7,0.6881176233291626,0.001149678835645318,0.022823151294684933,0.8627315275410715,0.04976371807847467,0.06458123115109421,0.6224739092082213,1,RANDOM_PRUNE,stem:RANDOM_PRUNE@1(ratio=0.05),1 0 0 0 1 0 2 1 0 1 1 1 1 0 0 3 2 0 1 2 0 0 0 1 0 1 1 0 0 0
8,0.6762295961380005,0.002046374836936593,0.10021598694845853,0.0,0.21558727102897798,0.28357485496144696,0.44668933993126003,5,CLIP|DAMP|PRUNE|QUANTIZE,"layer1:PRUNE@2(ratio=0.7) layer1:QUANTIZE@1(ratio=0.3, bits=5) layer2:PRUNE@1(ratio=0.5) layer2:DAMP@1(ratio=0.05, strength=0.1) layer4:CLIP@1(ratio=0.1, limit=3.0)",0 1 1 0 1 0 2 1 1 1 1 1 1 3 0 4 2 0 1 2 1 0 0 1 2 1 1 2 1 1
9,0.17185133695602417,0.0018494123360142112,0.11300230530047557,0.0,0.003159945344758946,0.34975233572288095,0.28760010950023723,3,MASK|PRUNE|RESET,stem:PRUNE@1(ratio=0.5) stem:RESET@2(ratio=0.1) layer4:MASK@1(ratio=0.01),1 0 0 0 1 0 1 0 2 2 0 1 4 0 3 0 0 3 1 2 0 0 1 0 2 2 2 0 0 2
