front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,selectivity_S,mia_auc,operators,role
0,0.4985023448944092,0.06839504621558719,0.2242479628744916,0.4952,1.889681053352356,0.462,2.287213073730469,0.9773777777777778,0.06839504621558719,0.9077777777777778,0.34254265213012697,28.086511213488507,0.5335616,MASK,
1,0.3053325985908508,0.19502063442866008,0.1859909349739744,0.1244,4.355660594940185,0.125,4.7451006774902345,0.9461777777777778,0.19502063442866008,0.8873333333333333,0.4701642714606391,22.46190951601447,0.5316315,CLIP|MASK|RANDOM_PRUNE,strongest forgetting
2,0.6878581289291382,0.0034663975897762512,0.04182056026071013,0.999,0.00479348822273314,0.955,0.16872286224365235,0.9995777777777778,0.0034663975897762512,0.9384444444444444,0.23831376372443305,1.7304567203589551,0.5275096,DAMP,
3,0.6906053693771362,0.0011417572518189747,0.0,1.0,0.0007707987274974585,0.965,0.13434823656082154,1.0,0.0011417572518189747,0.946,0.2054960947036743,nan,0.5336339,,
4,0.6906053693771362,0.0011417572518189747,0.0,1.0,0.0007707987274974585,0.965,0.13434823656082154,1.0,0.0011417572518189747,0.946,0.2054960947036743,nan,0.5336339,,
5,0.6895222761154175,0.002758042619129022,0.05034958562889066,0.9996,0.0021259733483195305,0.964,0.15253443050384521,0.9996666666666667,0.002758042619129022,0.9413333333333334,0.2297124210993449,0.8384500956520216,0.5323558,DAMP|RANDOM_PRUNE,
6,0.20895153589248658,0.0027177896906932196,0.11278657038198434,0.1552,3.8407752685546876,0.14,4.400443542480469,0.9997111111111111,0.0027177896906932196,0.9457777777777778,0.20595943864186605,2436.5009089343957,0.5406812,MASK|RESET,selected C*; best selectivity
7,0.6904809242248535,0.0018102924527393447,0.022823151294684933,1.0,0.0008427150279283524,0.966,0.1284395914077759,0.9999333333333333,0.0018102924527393447,0.9405555555555556,0.2244575269487169,0.1075729450474515,0.527613,RANDOM_PRUNE,
8,0.6818053434371948,0.002268301127023167,0.1004180376481455,0.9988,0.010940654446184635,0.939,0.2710392761230469,0.9999111111111111,0.002268301127023167,0.9425555555555556,0.21956327703264025,9.027483032424135,0.5325678,CLIP|DAMP|PRUNE|QUANTIZE,
9,0.20895153589248658,0.0027177896906932196,0.11278657038200951,0.1552,3.8407752685546876,0.14,4.400443542480469,0.9997111111111111,0.0027177896906932196,0.9457777777777778,0.20595943864186605,2436.5009089343957,0.5406812,MASK|PRUNE|RESET,
