front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,obj1_normalised,obj2_normalised,obj3_normalised,crowding_distance,n_actions,operators,strategy,chromosome
0,0.4618242383003235,0.007087032776325941,0.11823520092013381,0.0,0.0013205810347633547,0.3330443364024711,inf,3,CLIP|MASK|QUANTIZE,"stem:CLIP@1(ratio=0.1, limit=3.0) layer2:QUANTIZE@1(ratio=0.3, bits=5) layer4:MASK@1(ratio=0.01)",1 0 1 1 1 0 1 0 1 2 0 2 2 3 3 3 1 3 0 1 0 0 1 0 1 1 1 0 0 1
1,0.6476788520812988,0.033476145938038826,0.06278242537384475,0.8212794746093334,0.9029123340502353,0.10854733025934077,inf,1,DAMP,"layer2:DAMP@2(ratio=0.1, strength=0.25)",0 0 1 1 0 0 0 0 1 2 0 0 4 3 0 2 1 1 0 1 0 0 0 2 0 1 2 0 0 0
2,0.4523143172264099,0.0013145472621545196,0.16570910075525164,0.0,9.463586731430972e-06,0.8408045440946292,inf,3,MASK|QUANTIZE|RESET,"stem:RESET@1(ratio=0.05) layer3:QUANTIZE@2(ratio=0.4, bits=4) layer4:MASK@1(ratio=0.01)",1 0 0 1 1 0 1 0 1 2 0 0 4 3 0 3 1 4 0 1 0 0 1 0 1 2 2 2 0 0
3,0.6903167366981506,0.0008451565518043935,0.0,0.998145316399988,0.0,0.0,inf,0,,,1 0 0 1 1 0 0 0 1 2 0 2 4 3 0 3 0 3 0 1 0 0 0 1 0 2 1 0 0 0
4,0.6903167366981506,0.0008451565518043935,0.0,0.998145316399988,0.0,0.0,inf,0,,,0 0 0 0 0 0 1 0 1 2 0 0 4 3 3 3 1 4 0 1 0 0 1 2 0 1 2 1 0 0
5,0.6476788520812988,0.033476145938038826,0.06278242537384475,0.8014491385938276,0.23799875120738836,0.18238683352588925,1.2548078296222211,1,DAMP,"layer2:DAMP@2(ratio=0.1, strength=0.25)",1 0 1 1 0 0 1 0 1 2 0 2 4 3 0 3 1 1 0 1 0 0 1 0 0 1 2 0 0 0
6,0.6476788520812988,0.033476145938038826,0.06278242537384475,0.24309244949417463,0.004139430729059955,0.22255927407331652,0.8507209588620306,1,DAMP,"layer2:DAMP@2(ratio=0.1, strength=0.25)",1 0 1 0 0 0 0 0 1 2 2 1 2 3 0 2 1 1 0 0 0 0 0 0 0 1 2 0 0 0
7,0.4523143172264099,0.0013145472621545196,0.16570910075525164,0.0,9.262381781829416e-05,0.6123042220960853,0.6394261817543987,3,MASK|QUANTIZE|RESET,"stem:RESET@1(ratio=0.05) layer3:QUANTIZE@2(ratio=0.4, bits=4) layer4:MASK@1(ratio=0.01)",1 0 0 1 1 0 1 0 1 2 0 0 4 3 0 3 1 4 0 1 0 0 1 0 1 2 2 2 0 0
8,0.4790376126766205,0.0016516600735485554,0.10768278511812504,0.11228161255471425,0.00015914553403096303,0.39789380109108985,0.5760086230290131,1,MASK,layer4:MASK@1(ratio=0.01),0 0 0 0 1 0 1 0 2 2 0 0 4 2 3 3 1 4 0 1 0 0 1 2 0 1 2 1 0 0
9,0.6081727743148804,0.0038706522900611162,0.0948110001619019,0.6400461099285876,0.0006332738932670491,0.2618836310716144,0.574550601369162,3,DAMP|PRUNE|RANDOM_PRUNE,"layer1:RANDOM_PRUNE@1(ratio=0.05) layer4:PRUNE@1(ratio=0.5) layer4:DAMP@2(ratio=0.1, strength=0.25)",0 1 0 0 1 0 2 2 2 2 1 0 4 2 2 1 0 4 2 1 1 2 1 1 1 0 0 1 2 0
