class_name,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,1.000000,0.270797,0.275052,0.203282,0.199249,0.152834,0.147170,0.243174,0.413182,0.236688
automobile,0.270797,1.000000,0.143917,0.129175,0.065655,0.110027,0.080427,0.187628,0.239750,0.322779
bird,0.275052,0.143917,1.000000,0.210521,0.293229,0.164151,0.273573,0.193367,0.211792,0.064276
cat,0.203282,0.129175,0.210521,1.000000,0.193734,0.298634,0.233930,0.154858,0.162596,0.136882
deer,0.199249,0.065655,0.293229,0.193734,1.000000,0.204945,0.300013,0.248474,0.222282,0.141048
dog,0.152834,0.110027,0.164151,0.298634,0.204945,1.000000,0.166723,0.244335,0.148558,0.123664
frog,0.147170,0.080427,0.273573,0.233930,0.300013,0.166723,1.000000,0.133551,0.179380,0.076366
horse,0.243174,0.187628,0.193367,0.154858,0.248474,0.244335,0.133551,1.000000,0.195379,0.224761
ship,0.413182,0.239750,0.211792,0.162596,0.222282,0.148558,0.179380,0.195379,1.000000,0.294199
truck,0.236688,0.322779,0.064276,0.136882,0.141048,0.123664,0.076366,0.224761,0.294199,1.000000
