class_id,class_name,front_position,operators,ACC_r,ACC_f,composite,MIA,selectivity_S,f1_js,f2_retain_train_loss,f3_edit_cost,W_0_ACC_r,W_0_ACC_f,W_ref_ACC_r,W_ref_ACC_f,search_minutes
0,airplane,0,CLIP|DAMP|MASK,92.86,0.00,92.86,100.00,221.25,0.3892,0.0392,0.1795,94.68,95.80,95.16,0.00,15.5
1,automobile,5,CLIP|MASK|PRUNE,92.68,12.70,80.91,91.70,154.57,0.3647,0.0271,0.1210,94.46,97.80,94.76,0.00,11.9
2,bird,0,CLIP|MASK|RANDOM_PRUNE,95.12,17.90,78.10,91.70,1320.40,0.2894,0.0042,0.1819,95.03,92.60,95.26,0.00,8.3
3,cat,0,DAMP|MASK|PRUNE|RANDOM_PRUNE|RESET,94.80,9.60,85.70,95.10,168.69,0.4477,0.0207,0.1350,95.28,90.40,96.12,0.00,10.0
4,deer,2,MASK,94.20,7.80,86.85,96.00,1257.14,0.3623,0.0047,0.1176,94.69,95.70,94.57,0.00,6.4
5,dog,3,MASK,95.62,3.30,92.47,99.00,4427.91,0.1403,0.0023,0.1126,95.22,90.90,95.76,0.00,7.0
6,frog,8,DAMP|MASK,92.52,8.30,84.84,94.20,281.76,0.3637,0.0189,0.1451,94.51,97.30,94.59,0.00,8.2
7,horse,7,MASK,93.14,9.80,84.02,91.10,176.56,0.4889,0.0302,0.1220,94.71,95.50,94.23,0.00,7.3
8,ship,6,MASK|RESET,94.58,14.00,81.34,97.00,2436.50,0.2090,0.0027,0.1128,94.60,96.50,95.02,0.00,7.8
9,truck,0,CLIP|MASK|QUANTIZE,92.91,42.10,53.80,69.60,93.99,0.4205,0.0257,0.1166,94.72,95.40,95.14,0.00,8.2
